query,listing_id,text_similarity,rating,rating_norm,review_count,review_count_norm,reviews_per_month,reviews_per_month_norm,availability_365,availability_365_norm,price,price_norm,price_fit,accommodates_fit,location_match,property_type_match,room_type_match,flexible_cancellation_match,instant_bookable_match,wifi_match,family_home_match,query_wants_wifi,query_wants_family_friendly,preferred_entire_home_match,query_wants_cheap,query_wants_good_reviews,query_wants_flexible_cancellation,query_wants_instant_bookable,query_prefers_entire_home,rule_score,label
entire place near beach in Manly,18126666,0.0,80.0,0.8,4.0,0.008,0.2,0.02,0.0,0.0,120.0,0.12,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3108,0
entire place near beach in Manly,18179471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.18,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,18185528,0.0,97.0,0.97,14.0,0.028,0.7,0.06999999999999999,218.0,0.5972602739726027,100.0,0.1,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3468,0
entire place near beach in Manly,18379576,0.0,100.0,1.0,2.0,0.004,0.17,0.017,281.0,0.7698630136986301,928.0,0.928,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3504,0
entire place near beach in Manly,18414631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.5232876712328767,274.0,0.274,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,18414999,0.0,92.0,0.92,28.0,0.056,1.56,0.156,52.0,0.14246575342465753,251.0,0.251,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3396,0
entire place near beach in Manly,18416272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.3643835616438356,263.0,0.263,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,18478241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.21,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,18529356,0.0,70.0,0.7,2.0,0.004,0.12,0.012,124.0,0.33972602739726027,195.0,0.195,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.2904,0
entire place near beach in Manly,18585866,0.0,100.0,1.0,1.0,0.002,0.09,0.009,0.0,0.0,999.0,0.999,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3502,0
entire place near beach in Manly,18619560,0.0,87.0,0.87,3.0,0.006,0.21,0.020999999999999998,107.0,0.29315068493150687,190.0,0.19,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3246,0
entire place near beach in Manly,18638619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.024657534246575342,615.0,0.615,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.15,0
entire place near beach in Manly,18643402,0.0,100.0,1.0,1.0,0.002,0.05,0.005,5.0,0.0136986301369863,55.0,0.055,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0.3502,0
apartment near airport and cbd,28404761,0.730878472328186,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.24383561643835616,100.0,0.1,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.2462,0
apartment near airport and cbd,22359259,0.706292986869812,100.0,1.0,41.0,0.082,3.9,0.39,22.0,0.06027397260273973,100.0,0.1,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.4495,0
apartment near airport and cbd,29338249,0.6938250064849854,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.07397260273972603,68.0,0.068,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,0,0,0,0,1,0.1388,0
apartment near airport and cbd,30178444,0.6813564896583557,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.18904109589041096,96.0,0.096,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,0,0,0,0,1,0.1863,0
apartment near airport and cbd,29968096,0.6723372936248779,96.0,0.96,5.0,0.01,5.0,0.5,47.0,0.12876712328767123,162.0,0.162,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.4275,0
apartment near airport and cbd,25097969,0.6713165044784546,100.0,1.0,2.0,0.004,0.32,0.032,0.0,0.0,100.0,0.1,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.4347,0
apartment near airport and cbd,3784168,0.6709949970245361,100.0,1.0,2.0,0.004,0.04,0.004,0.0,0.0,251.0,0.251,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.4346,0
apartment near airport and cbd,20820825,0.6691675186157227,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.9397260273972603,199.0,0.199,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.2338,0
apartment near airport and cbd,11854822,0.665184736251831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.1,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.233,0
apartment near airport and cbd,21282498,0.6641439199447632,100.0,1.0,3.0,0.006,0.21,0.020999999999999998,13.0,0.03561643835616438,125.0,0.125,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,0,0,0,0,1,0.3834,0
apartment near airport and cbd,18757540,0.6595004796981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.122,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.2319,0
apartment near airport and cbd,22658569,0.658200740814209,96.0,0.96,5.0,0.01,0.55,0.05500000000000001,36.0,0.09863013698630137,69.0,0.069,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,0,0,0,0,1,0.3246,0
apartment near airport and cbd,29842821,0.6580213308334351,100.0,1.0,1.0,0.002,1.0,0.1,61.0,0.16712328767123288,199.0,0.199,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.4318,0
apartment near airport and cbd,23474314,0.6555467844009399,93.0,0.93,3.0,0.006,0.32,0.032,0.0,0.0,248.0,0.248,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.4177,0
apartment near airport and cbd,19811161,0.6538162231445312,85.0,0.85,49.0,0.098,3.04,0.304,86.0,0.2356164383561644,238.0,0.238,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,0,0,0,0,1,0.4106,0
